iter	MultiClass
0	1.094589419
1	1.092339692
2	1.09028623
3	1.08627454
4	1.083774958
5	1.08057942
6	1.077393864
7	1.07515362
8	1.072096387
9	1.06960615
10	1.066658272
11	1.064405228
12	1.062645267
13	1.05995179
14	1.057821581
15	1.055955348
16	1.053466544
17	1.050560163
18	1.047795599
19	1.046553214
20	1.045013046
21	1.042894569
22	1.041404056
23	1.039830598
24	1.038019477
25	1.036722057
26	1.035544148
27	1.033493392
28	1.031906745
29	1.030557763
30	1.030278623
31	1.029557926
32	1.02934183
33	1.027441853
34	1.026912132
35	1.024909047
36	1.024028934
37	1.023323274
38	1.02197079
39	1.021224696
40	1.018765892
41	1.018247194
42	1.016419048
43	1.015265462
44	1.014118269
45	1.013146317
46	1.011857284
47	1.010710169
48	1.010276507
49	1.008526631
50	1.007548988
51	1.006294103
52	1.005236844
53	1.004399048
54	1.003104475
55	1.001764228
56	1.000567379
57	0.99986345
58	0.9979707641
59	0.9969800145
60	0.9962587578
61	0.9952516254
62	0.994301276
63	0.9939954034
64	0.9931933834
65	0.9926633507
66	0.9912334044
67	0.9904538797
68	0.9892837061
69	0.9883952646
70	0.9877793371
71	0.9864182652
72	0.9856317653
73	0.9845992066
74	0.9840690879
75	0.9837628104
76	0.9825756075
77	0.9820133359
78	0.9810758753
79	0.9810758551
80	0.9808970021
81	0.9804854608
82	0.9795753685
83	0.9788080165
84	0.9784798877
85	0.9781444602
86	0.9778635004
87	0.9770554947
88	0.9761328287
89	0.9757977382
90	0.9745699422
91	0.9737172238
92	0.9734372226
93	0.9721647213
94	0.9712037342
95	0.9710812956
96	0.9700933583
97	0.9692046398
98	0.9686515004
99	0.9683433092
100	0.9676660404
101	0.9672616692
102	0.9669700992
103	0.9664471914
104	0.9664290695
105	0.9657278362
106	0.9649600199
107	0.9645952593
108	0.9645952009
109	0.9641498182
110	0.9637115293
111	0.9628692699
112	0.9619166343
113	0.961250948
114	0.9609106747
115	0.9607336976
116	0.9600802451
117	0.9592689431
118	0.9584309755
119	0.9579677535
120	0.9576859254
121	0.9571729208
122	0.9571524898
123	0.9563427595
124	0.9557045616
125	0.9546623247
126	0.954139445
127	0.9536751951
128	0.9533984978
129	0.9528958976
130	0.9523356462
131	0.9518469783
132	0.9513601371
133	0.9502815403
134	0.9498079255
135	0.9494581007
136	0.9489235372
137	0.9489139736
138	0.9485688471
139	0.9479195247
140	0.9474462073
141	0.946821424
142	0.94618814
143	0.9456685133
144	0.9452052028
145	0.9443891342
146	0.9436729148
147	0.9428189895
148	0.9423679125
149	0.9420570899
150	0.9416329911
151	0.9410819391
152	0.9407210628
153	0.9405516297
154	0.9398568284
155	0.9396486425
156	0.9395501793
157	0.9389666101
158	0.9383585477
159	0.9382330435
160	0.938038228
161	0.937326424
162	0.9365183474
163	0.9360790837
164	0.9356471667
165	0.9355109044
166	0.9348373046
167	0.9343898503
168	0.9340711073
169	0.9337093714
170	0.9330017538
171	0.9321455376
172	0.931545814
173	0.9310925223
174	0.9303785669
175	0.9303223504
176	0.929661464
177	0.9290804805
178	0.9277493585
179	0.9269865298
180	0.9263312455
181	0.9260283234
182	0.9256194589
183	0.9249436874
184	0.9243217648
185	0.92421225
186	0.9236861278
187	0.9228860472
188	0.9221844633
189	0.9217720115
190	0.9214813966
191	0.9206457351
192	0.9204795984
193	0.9200476047
194	0.9189703288
195	0.9187553155
196	0.9181787141
197	0.9177212806
198	0.9170851725
199	0.9161446695
200	0.9149542379
201	0.9146870301
202	0.9144655738
203	0.914071682
204	0.9134572115
205	0.9123404411
206	0.9118321647
207	0.9111283056
208	0.9103360185
209	0.909709298
210	0.9092640313
211	0.9084230922
212	0.9081055534
213	0.9070651056
214	0.9062120031
215	0.9050742357
216	0.9043771833
217	0.9040282097
218	0.9033617955
219	0.9026739266
220	0.902090082
221	0.9012893324
222	0.9010820492
223	0.900854899
224	0.9007402211
225	0.9004503693
226	0.9001631214
227	0.8998519846
228	0.899090644
229	0.8987055973
230	0.8982312705
231	0.8977365349
232	0.8972060645
233	0.896956551
234	0.8967146215
235	0.89595868
236	0.8955817319
237	0.8951633513
238	0.8945029116
239	0.8937544881
240	0.8926277416
241	0.8925564831
242	0.8915886475
243	0.8909573532
244	0.890491712
245	0.889990121
246	0.8894686612
247	0.8888559499
248	0.8886548185
249	0.887590407
250	0.8870345508
251	0.8863607066
252	0.8860325631
253	0.885154876
254	0.884760138
255	0.8842657682
256	0.8837708813
257	0.8835927456
258	0.8831485196
259	0.8823597443
260	0.8817233119
261	0.8812650141
262	0.880266884
263	0.8797493099
264	0.879178767
265	0.8786095402
266	0.8780613569
267	0.8775485583
268	0.8773456035
269	0.876583077
270	0.8756493101
271	0.8747791517
272	0.8742731508
273	0.8734558062
274	0.8728140725
275	0.8725945069
276	0.8723715068
277	0.8718571511
278	0.8714335618
279	0.8708675112
280	0.8698287869
281	0.8692678517
282	0.8689443507
283	0.8683460689
284	0.867773605
285	0.8673236192
286	0.8669654383
287	0.8663140923
288	0.8657025353
289	0.8655786745
290	0.8653495312
291	0.8649115405
292	0.864733595
293	0.8644291812
294	0.8637295841
295	0.8633618978
296	0.8629402742
297	0.8625580082
298	0.8619172535
299	0.8614368782
300	0.8602657349
301	0.8596500142
302	0.8592384355
303	0.8588378584
304	0.8585194504
305	0.8582135779
306	0.857618407
307	0.8569708307
308	0.8563267692
309	0.8555005303
310	0.8549887902
311	0.8546754088
312	0.8543813519
313	0.853966265
314	0.8535413514
315	0.8529848643
316	0.8520528042
317	0.8515465201
318	0.8511996909
319	0.850556762
320	0.8502100587
321	0.8501121701
322	0.8493048189
323	0.8489397072
324	0.848395155
325	0.8479893708
326	0.847421825
327	0.8473639944
328	0.8465426201
329	0.8460994531
330	0.8459811735
331	0.8457336167
332	0.8456375736
333	0.8452113107
334	0.8442679829
335	0.8438800999
336	0.8434559603
337	0.8429011092
338	0.8423309542
339	0.8418045202
340	0.8412270021
341	0.8402319194
342	0.839705559
343	0.8393653735
344	0.8392006919
345	0.8386755639
346	0.8381877915
347	0.8380323317
348	0.8376792703
349	0.8375384829
350	0.8368160532
351	0.83592907
352	0.8356952778
353	0.8350985663
354	0.8348017401
355	0.8338427365
356	0.8333156166
357	0.8329415811
358	0.8324369949
359	0.8322392777
360	0.8318440818
361	0.8313689076
362	0.8308931369
363	0.8305586552
364	0.8296912946
365	0.8294102254
366	0.8292738489
367	0.8291389619
368	0.8283501664
369	0.8273450325
370	0.8268987398
371	0.8264497562
372	0.8257747248
373	0.8254031944
374	0.8250742951
375	0.8246946184
376	0.824151178
377	0.8237660543
378	0.8234963939
379	0.822923263
380	0.822276487
381	0.8219660567
382	0.8218176828
383	0.8215284956
384	0.8211924707
385	0.8206975626
386	0.8203324757
387	0.819953525
388	0.8195285594
389	0.8188599858
390	0.8184508106
391	0.8180355276
392	0.81775386
393	0.8175169849
394	0.8170219394
395	0.8163648341
396	0.8161340412
397	0.8154061675
398	0.8147836089
399	0.814678524
400	0.814108927
401	0.8139822975
402	0.8134315535
403	0.8132163179
404	0.812948558
405	0.8124441507
406	0.812080314
407	0.8119226665
408	0.8118083316
409	0.8116131052
410	0.8112427519
411	0.8107343939
412	0.8101849465
413	0.8096778527
414	0.8093805226
415	0.809199717
416	0.8085156421
417	0.8083736497
418	0.8081352859
419	0.807850062
420	0.8075573033
421	0.8070000194
422	0.8066194292
423	0.8062005161
424	0.8058609064
425	0.8054461295
426	0.804848898
427	0.804392967
428	0.8040023263
429	0.803830267
430	0.8032432313
431	0.8028151109
432	0.8026350276
433	0.8020758624
434	0.8014683973
435	0.8009926709
436	0.8004220745
437	0.8000684833
438	0.7997202159
439	0.7992492068
440	0.7990805742
441	0.7986781781
442	0.7984458711
443	0.7977194059
444	0.7974683404
445	0.7973254604
446	0.796981927
447	0.7966598211
448	0.7964999068
449	0.7960802693
450	0.7959999002
451	0.7957026439
452	0.7955612672
453	0.795269568
454	0.7950298595
455	0.7948812222
456	0.7945493707
457	0.7934614311
458	0.7933492214
459	0.7931862878
460	0.7925044594
461	0.7920764529
462	0.7917535843
463	0.7915726758
464	0.7912344762
465	0.7909404935
466	0.7904424865
467	0.7901615024
468	0.7898874652
469	0.7896849513
470	0.7892013521
471	0.7888534118
472	0.7882326087
473	0.7879473139
474	0.787278113
475	0.7870645021
476	0.7868620274
477	0.786269747
478	0.7859815721
479	0.7856659065
480	0.7853104432
481	0.7848507494
482	0.7842517762
483	0.7840708573
484	0.7838858598
485	0.7836392122
486	0.7834458383
487	0.7830020739
488	0.7827487479
489	0.7821728426
490	0.7819017351
491	0.7814755095
492	0.7811953774
493	0.7807951751
494	0.7803244925
495	0.7799314228
496	0.7791968398
497	0.7791915136
498	0.7788591652
499	0.7782839392
500	0.7779052547
501	0.7773593343
502	0.7771367383
503	0.7767589734
504	0.7765457523
505	0.7761409543
506	0.7758186819
507	0.7751086914
508	0.7747019145
509	0.774379673
510	0.7741257517
511	0.7734844117
512	0.7731142888
513	0.7725596958
514	0.7720125676
515	0.7718447295
516	0.7714362465
517	0.7705227574
518	0.7699792623
519	0.7694979266
520	0.7690288379
521	0.7686001874
522	0.7680829356
523	0.7678723061
524	0.7673246267
525	0.7667558556
526	0.7660874431
527	0.7657562646
528	0.7651832599
529	0.7646214056
530	0.7641626694
531	0.7634218805
532	0.7632696786
533	0.7629381157
534	0.7627553453
535	0.7621925821
536	0.7618201552
537	0.761335378
538	0.7610975683
539	0.7605374834
540	0.7599041053
541	0.7596793635
542	0.7591670737
543	0.7587432082
544	0.7583137284
545	0.7577364548
546	0.7574162809
547	0.7572392674
548	0.7570660648
549	0.7564397015
550	0.755871944
551	0.7554719898
552	0.7549014071
553	0.7542213079
554	0.7536727602
555	0.7533359531
556	0.7533004899
557	0.7529142045
558	0.7526229913
559	0.7521045784
560	0.7518185923
561	0.7514252259
562	0.7511348106
563	0.750690731
564	0.7504536528
565	0.7502149163
566	0.7496657506
567	0.749369461
568	0.7490843815
569	0.7488085919
570	0.7483588642
571	0.7481714822
572	0.7475363702
573	0.7470854696
574	0.7465692855
575	0.7460433652
576	0.7454847726
577	0.7449909145
578	0.7445593269
579	0.7444108365
580	0.7443821315
581	0.7442927525
582	0.743589506
583	0.743125301
584	0.742954822
585	0.742113632
586	0.7418112899
587	0.7410925377
588	0.7407600481
589	0.7405384493
590	0.7403532171
591	0.7402322967
592	0.7395335858
593	0.7390441078
594	0.7389583093
595	0.7383861021
596	0.7380581041
597	0.7376793889
598	0.7373487724
599	0.7369096696
600	0.7365928585
601	0.736219927
602	0.7359400915
603	0.7355459661
604	0.7350274871
605	0.734771696
606	0.7344293236
607	0.734328622
608	0.734160828
609	0.7336240341
610	0.7332663411
611	0.7328411261
612	0.7324442086
613	0.7319932352
614	0.731512367
615	0.7310677152
616	0.7308779264
617	0.7305134024
618	0.7299028767
619	0.7293574836
620	0.7289508785
621	0.7286671974
622	0.7283866093
623	0.7280689251
624	0.7277604803
625	0.7272474223
626	0.7267512223
627	0.7262987351
628	0.7260106542
629	0.7256942541
630	0.7254030567
631	0.7249894109
632	0.7247891723
633	0.7243152186
634	0.7238480284
635	0.7234315903
636	0.7230850225
637	0.7227297607
638	0.7226127032
639	0.7222098925
640	0.721915918
641	0.721682077
642	0.7213033148
643	0.7210507411
644	0.7207142568
645	0.7204985992
646	0.7201092714
647	0.7196778626
648	0.7194513901
649	0.7190244603
650	0.7185529787
651	0.7184009793
652	0.7179945046
653	0.7177401808
654	0.7171988834
655	0.7164875597
656	0.7157084156
657	0.7152921775
658	0.7150994551
659	0.7149670949
660	0.7144276692
661	0.7143926786
662	0.714038524
663	0.7137041319
664	0.71301047
665	0.7126759093
666	0.7124104247
667	0.7121262776
668	0.7117607416
669	0.711343483
670	0.711220591
671	0.7107574021
672	0.7102868985
673	0.7101057081
674	0.7096115848
675	0.7092007707
676	0.7088380588
677	0.7082708182
678	0.7080876011
679	0.7078420489
680	0.7073743322
681	0.7069715621
682	0.7068679564
683	0.7067381904
684	0.7065261359
685	0.7061699399
686	0.7057769325
687	0.705626267
688	0.7056052739
689	0.7052681413
690	0.704884921
691	0.7046381269
692	0.7043000695
693	0.7038192845
694	0.7033542921
695	0.7028149446
696	0.702358436
697	0.7020743029
698	0.7016337292
699	0.7012737158
700	0.7008892347
701	0.7006067797
702	0.7003300666
703	0.6998878448
704	0.699447789
705	0.6992104593
706	0.6988382442
707	0.6985449267
708	0.6983386778
709	0.69816046
710	0.6977085952
711	0.69726763
712	0.6968652422
713	0.6965817236
714	0.696363131
715	0.6962275726
716	0.6958122088
717	0.6955449932
718	0.6950978767
719	0.6948289806
720	0.6946650539
721	0.6944520828
722	0.694074156
723	0.6935852834
724	0.6933180094
725	0.6929474062
726	0.6928259106
727	0.6925596318
728	0.6922155648
729	0.691963271
730	0.6917329838
731	0.6915643046
