iter	Passed	Remaining
0	149	119463
1	160	64216
2	176	46779
3	202	40321
4	222	35413
5	248	32881
6	277	31450
7	303	30083
8	335	29484
9	364	28772
10	388	27863
11	414	27236
12	444	26900
13	469	26384
14	499	26114
15	516	25323
16	540	24915
17	565	24562
18	593	24415
19	621	24257
20	648	24071
21	673	23817
22	697	23553
23	728	23547
24	754	23382
25	779	23201
26	807	23111
27	833	22994
28	860	22890
29	890	22846
30	900	22344
31	925	22218
32	935	21740
33	959	21606
34	976	21338
35	1001	21249
36	1026	21177
37	1058	21227
38	1082	21117
39	1106	21016
40	1133	20974
41	1157	20896
42	1181	20791
43	1208	20758
44	1234	20720
45	1261	20677
46	1285	20598
47	1311	20543
48	1335	20474
49	1362	20431
50	1387	20379
51	1420	20433
52	1445	20379
53	1470	20319
54	1497	20279
55	1523	20243
56	1549	20193
57	1573	20135
58	1598	20074
59	1622	20015
60	1654	20044
61	1679	19995
62	1705	19946
63	1730	19900
64	1754	19835
65	1778	19783
66	1804	19738
67	1837	19774
68	1861	19718
69	1888	19689
70	1916	19674
71	1941	19627
72	1966	19588
73	1991	19539
74	2017	19498
75	2044	19472
76	2068	19425
77	2092	19371
78	2117	19324
79	2123	19109
80	2135	18956
81	2157	18892
82	2183	18860
83	2207	18819
84	2235	18801
85	2255	18727
86	2282	18703
87	2312	18713
88	2338	18677
89	2361	18630
90	2386	18593
91	2412	18565
92	2438	18540
93	2461	18490
94	2485	18445
95	2509	18403
96	2533	18363
97	2560	18340
98	2585	18304
99	2616	18315
100	2643	18298
101	2669	18267
102	2693	18226
103	2717	18186
104	2726	18046
105	2749	17999
106	2777	17989
107	2803	17961
108	2809	17810
109	2838	17807
110	2863	17774
111	2888	17742
112	2917	17736
113	2945	17726
114	2976	17727
115	2999	17689
116	3025	17661
117	3051	17634
118	3076	17607
119	3100	17569
120	3124	17533
121	3148	17497
122	3160	17396
123	3182	17347
124	3209	17329
125	3234	17301
126	3265	17302
127	3290	17274
128	3315	17245
129	3339	17208
130	3363	17175
131	3388	17145
132	3413	17120
133	3446	17129
134	3471	17101
135	3495	17065
136	3520	17038
137	3530	16937
138	3553	16896
139	3576	16859
140	3600	16826
141	3626	16804
142	3652	16779
143	3677	16752
144	3702	16723
145	3727	16698
146	3752	16669
147	3776	16638
148	3801	16607
149	3826	16579
150	3851	16554
151	3880	16543
152	3905	16513
153	3928	16478
154	3951	16443
155	3975	16412
156	4000	16384
157	4028	16370
158	4054	16345
159	4069	16279
160	4092	16244
161	4122	16233
162	4148	16211
163	4174	16188
164	4201	16169
165	4230	16156
166	4254	16126
167	4282	16109
168	4309	16090
169	4334	16062
170	4359	16036
171	4387	16021
